,champion,patch,games,dmgtaken/min,dmgdealt/min,Class,color,season,patchnum,internal
27,Fiddlesticks,8.01,39548,1290.811033,605.4128778,Specialist,#EB8596,8,1,1
28,Fiora,8.01,70174,1998.852324,612.8614785,Assassin,#ED2941,8,1,1
29,Fizz,8.01,108815,1133.424566,639.7441876,Assassin,#ED2941,8,1,1
30,Galio,8.01,52440,1924.140797,565.7083715,Tank,#393663,8,1,1
31,Gangplank,8.01,139498,1363.571911,720.262761,Specialist,#EB8596,8,1,1
32,Garen,8.01,148141,2284.401389,578.9873799,Fighter,#664A40,8,1,1
33,Gnar,8.01,83303,1647.506469,620.876665,Specialist,#EB8596,8,1,1
34,Gragas,8.01,34067,2195.685063,457.8579316,Tank,#393663,8,1,1
35,Graves,8.01,51147,1537.081068,601.3139002,Specialist,#EB8596,8,1,1
36,Hecarim,8.01,42019,2258.472048,482.9470539,Fighter,#664A40,8,1,1
37,Heimerdinger,8.01,47189,899.4383649,810.8738377,Specialist,#EB8596,8,1,1
38,Illaoi,8.01,120565,2198.432322,772.4650037,Fighter,#664A40,8,1,1
39,Irelia,8.01,49171,1892.600971,574.0957785,Fighter,#664A40,8,1,1
40,Ivern,8.01,13981,1237.928743,290.0611333,Support,#FFB733,8,1,1
41,Janna,8.01,190560,986.1583935,253.2863721,Support,#FFB733,8,1,1
42,Jarvan IV,8.01,144528,1981.438822,462.4834208,Fighter,#664A40,8,1,1
43,Jax,8.01,199010,1731.659099,515.4871779,Assassin,#ED2941,8,1,1
44,Jayce,8.01,56577,1195.554317,691.8666549,Mage,#25BAA4,8,1,1
45,Jhin,8.01,172944,885.8340418,648.7441741,Marksman,#0D1F22,8,1,1
46,Jinx,8.01,196764,994.2054494,635.4880954,Marksman,#0D1F22,8,1,1
47,Kalista,8.01,52898,1159.679496,613.6020834,Marksman,#0D1F22,8,1,1
48,Karma,8.01,73838,960.0847398,455.8020423,Support,#FFB733,8,1,1
49,Karthus,8.01,17256,1173.096493,920.1389468,Mage,#25BAA4,8,1,1
50,Kassadin,8.01,51776,1398.374182,640.030891,Assassin,#ED2941,8,1,1
51,Katarina,8.01,131142,1347.950219,737.8441435,Assassin,#ED2941,8,1,1
52,Kayle,8.01,39915,1385.22476,569.9305965,Specialist,#EB8596,8,1,1
53,Kayn,8.01,191162,2118.199239,538.7337905,Assassin,#ED2941,8,1,1
54,Kennen,8.01,28229,1090.472323,663.1584733,Specialist,#EB8596,8,1,1
55,Kha'Zix,8.01,130749,1873.443209,521.4612253,Assassin,#ED2941,8,1,1
56,Kindred,8.01,39822,1569.651339,606.4436815,Marksman,#0D1F22,8,1,1
57,Kled,8.01,37786,2214.429726,603.9644663,Fighter,#664A40,8,1,1
58,Kog'Maw,8.01,99832,1115.2453,782.1894373,Marksman,#0D1F22,8,1,1
59,LeBlanc,8.01,34576,1102.113559,638.0564866,Mage,#25BAA4,8,1,1
60,Lee Sin,8.01,140777,1993.134756,429.0722951,Fighter,#664A40,8,1,1
61,Leona,8.01,217952,1878.20695,257.4615254,Tank,#393663,8,1,1
62,Lissandra,8.01,25036,1132.702814,637.4154159,Mage,#25BAA4,8,1,1
63,Lucian,8.01,117386,1063.699679,616.414907,Marksman,#0D1F22,8,1,1
64,Lulu,8.01,146861,819.5912786,243.6150303,Support,#FFB733,8,1,1
65,Lux,8.01,214327,754.6834338,669.8752398,Mage,#25BAA4,8,1,1
66,Malphite,8.01,103694,1983.475967,539.0336475,Tank,#393663,8,1,1
67,Malzahar,8.01,148186,872.8714578,670.0196774,Mage,#25BAA4,8,1,1
68,Maokai,8.01,93889,2658.735546,502.6599227,Tank,#393663,8,1,1
69,Master Yi,8.01,124193,1770.105198,554.0626619,Assassin,#ED2941,8,1,1
70,Miss Fortune,8.01,204816,919.9140877,708.4215399,Marksman,#0D1F22,8,1,1
71,Mordekaiser,8.01,17992,1989.978032,672.9117416,Fighter,#664A40,8,1,1
72,Morgana,8.01,183389,1049.337209,487.9577101,Support,#FFB733,8,1,1
73,Nami,8.01,164647,1105.513568,308.5327869,Support,#FFB733,8,1,1
74,Nasus,8.01,231752,2294.095886,602.9511862,Fighter,#664A40,8,1,1
75,Nautilus,8.01,75413,2076.206485,356.7071124,Tank,#393663,8,1,1
76,Nidalee,8.01,40007,1775.589145,560.6778529,Specialist,#EB8596,8,1,1
77,Nocturne,8.01,29176,1832.18782,507.6208924,Assassin,#ED2941,8,1,1
78,Nunu,8.01,14376,2253.16669,365.5929289,Tank,#393663,8,1,1
79,Olaf,8.01,25321,2137.145144,548.4960878,Fighter,#664A40,8,1,1
80,Orianna,8.01,104805,907.3409384,631.7738884,Mage,#25BAA4,8,1,1
81,Ornn,8.01,108113,2170.489488,548.7163823,Tank,#393663,8,1,1
82,Pantheon,8.01,68047,1308.662768,608.9669192,Fighter,#664A40,8,1,1
83,Poppy,8.01,38434,2190.456973,483.6073585,Tank,#393663,8,1,1
84,Quinn,8.01,25899,1093.762784,639.174052,Specialist,#EB8596,8,1,1
85,Rakan,8.01,92251,1438.828692,223.282136,Support,#FFB733,8,1,1
86,Rammus,8.01,90178,2591.395557,443.0785816,Tank,#393663,8,1,1
87,Rek'Sai,8.01,24172,2132.346734,451.3357826,Fighter,#664A40,8,1,1
88,Renekton,8.01,60205,2089.19232,563.0380623,Fighter,#664A40,8,1,1
89,Rengar,8.01,55254,1786.009358,539.8940222,Fighter,#664A40,8,1,1
90,Riven,8.01,124127,1613.287402,543.3481073,Assassin,#ED2941,8,1,1
91,Rumble,8.01,25324,1427.40917,739.5521711,Mage,#25BAA4,8,1,1
92,Ryze,8.01,68130,1259.105244,627.3940959,Mage,#25BAA4,8,1,1
93,Sejuani,8.01,126157,2380.109141,396.9710347,Tank,#393663,8,1,1
94,Shaco,8.01,63255,1412.708739,481.9293235,Assassin,#ED2941,8,1,1
95,Shen,8.01,117315,2097.399313,385.0207572,Tank,#393663,8,1,1
96,Shyvana,8.01,202134,2265.889079,540.3487169,Fighter,#664A40,8,1,1
97,Singed,8.01,49846,2037.916238,662.7295786,Specialist,#EB8596,8,1,1
98,Sion,8.01,67088,2873.663702,533.1973631,Tank,#393663,8,1,1
99,Sivir,8.01,65198,1024.150499,638.3525815,Marksman,#0D1F22,8,1,1
100,Skarner,8.01,27049,2324.685157,380.4165726,Fighter,#664A40,8,1,1
101,Sona,8.01,113256,1162.031291,380.1761158,Support,#FFB733,8,1,1
102,Soraka,8.01,116370,1352.118807,219.8405853,Support,#FFB733,8,1,1
103,Swain,8.01,38321,1846.525534,737.859475,Mage,#25BAA4,8,1,1
104,Syndra,8.01,44670,835.4760333,665.1918282,Mage,#25BAA4,8,1,1
105,Tahm Kench,8.01,86078,2341.768266,388.4921737,Support,#FFB733,8,1,1
106,Taliyah,8.01,38108,947.1659592,761.1744646,Mage,#25BAA4,8,1,1
107,Talon,8.01,54123,1291.84829,634.6686283,Assassin,#ED2941,8,1,1
108,Taric,8.01,121949,1967.749729,208.6397207,Support,#FFB733,8,1,1
109,Teemo,8.01,130827,1040.991782,826.1080151,Specialist,#EB8596,8,1,1
110,Thresh,8.01,254869,1460.04179,270.6004912,Support,#FFB733,8,1,1
111,Tristana,8.01,372469,1076.842848,628.1563284,Marksman,#0D1F22,8,1,1
112,Trundle,8.01,50683,2457.23956,462.5648741,Fighter,#664A40,8,1,1
113,Tryndamere,8.01,71813,3268.827382,520.1369781,Assassin,#ED2941,8,1,1
114,Twisted Fate,8.01,61666,1006.695603,636.2858352,Mage,#25BAA4,8,1,1
115,Twitch,8.01,182176,1039.921162,665.1248678,Marksman,#0D1F22,8,1,1
116,Udyr,8.01,124124,2249.825185,425.5231299,Fighter,#664A40,8,1,1
117,Urgot,8.01,66211,1915.619403,615.1015072,Fighter,#664A40,8,1,1
118,Varus,8.01,122702,1037.039286,633.1316103,Marksman,#0D1F22,8,1,1
119,Vayne,8.01,326576,1124.341381,655.9510671,Marksman,#0D1F22,8,1,1
120,Veigar,8.01,146585,848.5680088,684.9418905,Mage,#25BAA4,8,1,1
121,Vel'Koz,8.01,70316,785.4817611,790.4679115,Mage,#25BAA4,8,1,1
122,Vi,8.01,104563,1875.002622,474.0313137,Fighter,#664A40,8,1,1
123,Viktor,8.01,26107,959.3156424,733.5438053,Mage,#25BAA4,8,1,1
124,Vladimir,8.01,113860,2123.881377,743.0912174,Mage,#25BAA4,8,1,1
125,Volibear,8.01,32685,2284.569531,463.2651977,Fighter,#664A40,8,1,1
126,Warwick,8.01,243425,2654.210441,447.394829,Fighter,#664A40,8,1,1
127,Wukong,8.01,63310,1518.150411,581.5263811,Fighter,#664A40,8,1,1
128,Xayah,8.01,197253,1044.757879,657.7338619,Marksman,#0D1F22,8,1,1
129,Xerath,8.01,103702,714.9008918,807.2247258,Mage,#25BAA4,8,1,1
130,Xin Zhao,8.01,123887,2122.591815,521.929886,Fighter,#664A40,8,1,1
131,Yasuo,8.01,256699,1539.67722,632.4781465,Assassin,#ED2941,8,1,1
132,Yorick,8.01,71945,1938.227195,645.669984,Fighter,#664A40,8,1,1
133,Zac,8.01,56754,3017.042505,412.9504759,Tank,#393663,8,1,1
134,Zed,8.01,149355,1187.913675,666.7618496,Assassin,#ED2941,8,1,1
135,Ziggs,8.01,47221,751.3747836,808.0756395,Mage,#25BAA4,8,1,1
136,Zilean,8.01,38398,1007.702004,482.981645,Specialist,#EB8596,8,1,1
137,Zoe,8.01,102073,865.0266561,717.6022276,Mage,#25BAA4,8,1,1
138,Zyra,8.01,73515,731.978378,698.0019133,Support,#FFB733,8,1,1
139,Aatrox,8.02,47319,2242.5761,622.5628416,Fighter,#664A40,8,2,2
140,Ahri,8.02,158146,984.3097672,701.053895,Mage,#25BAA4,8,2,2
141,Akali,8.02,145878,1802.652164,634.3373099,Assassin,#ED2941,8,2,2
142,Alistar,8.02,206825,2303.049626,280.2424762,Tank,#393663,8,2,2
143,Amumu,8.02,75649,2265.422174,474.2596942,Tank,#393663,8,2,2
144,Anivia,8.02,91422,1660.694095,678.4275891,Mage,#25BAA4,8,2,2
145,Annie,8.02,148922,880.5742354,674.4240953,Mage,#25BAA4,8,2,2
146,Ashe,8.02,145218,948.1122063,634.4034899,Marksman,#0D1F22,8,2,2
147,Aurelion Sol,8.02,31120,1205.665832,707.3749727,Mage,#25BAA4,8,2,2
148,Azir,8.02,132111,985.9488391,721.9176294,Specialist,#EB8596,8,2,2
149,Bard,8.02,102948,1193.957728,464.6221069,Support,#FFB733,8,2,2
150,Blitzcrank,8.02,215252,1685.597151,329.38668,Support,#FFB733,8,2,2
151,Brand,8.02,230208,915.9177379,805.6519102,Mage,#25BAA4,8,2,2
152,Braum,8.02,194730,1730.566849,242.7159717,Tank,#393663,8,2,2
153,Caitlyn,8.02,209057,973.1550203,678.5764204,Marksman,#0D1F22,8,2,2
154,Camille,8.02,121335,1715.85303,583.7109471,Fighter,#664A40,8,2,2
155,Cassiopeia,8.02,33768,1223.028881,658.7356471,Mage,#25BAA4,8,2,2
156,Cho'Gath,8.02,120617,2508.681018,564.3566008,Specialist,#EB8596,8,2,2
157,Corki,8.02,39923,1131.384891,768.0369249,Marksman,#0D1F22,8,2,2
158,Darius,8.02,156314,2148.144497,573.8579001,Fighter,#664A40,8,2,2
159,Diana,8.02,107670,1566.900596,676.6970954,Fighter,#664A40,8,2,2
160,Dr. Mundo,8.02,60145,2848.022072,638.7396809,Fighter,#664A40,8,2,2
161,Draven,8.02,224011,1158.011335,723.1231227,Marksman,#0D1F22,8,2,2
162,Ekko,8.02,193034,1683.909817,651.4823834,Assassin,#ED2941,8,2,2
163,Elise,8.02,31023,1426.061049,531.3283659,Fighter,#664A40,8,2,2
164,Evelynn,8.02,94878,1506.277507,583.2804013,Assassin,#ED2941,8,2,2
165,Ezreal,8.02,278369,982.0607247,785.7295817,Marksman,#0D1F22,8,2,2
166,Fiddlesticks,8.02,58378,1312.639347,608.805894,Specialist,#EB8596,8,2,2
167,Fiora,8.02,106568,2021.724254,625.9569571,Assassin,#ED2941,8,2,2
168,Fizz,8.02,149196,1153.282746,653.6758167,Assassin,#ED2941,8,2,2
169,Galio,8.02,103281,1932.049999,594.3914822,Tank,#393663,8,2,2
170,Gangplank,8.02,209431,1405.322759,720.4167635,Specialist,#EB8596,8,2,2
171,Garen,8.02,211066,2339.887515,595.8498531,Fighter,#664A40,8,2,2
172,Gnar,8.02,146188,1672.906454,637.6979864,Specialist,#EB8596,8,2,2
173,Gragas,8.02,57645,2193.916511,469.9048833,Tank,#393663,8,2,2
174,Graves,8.02,56204,1557.928369,622.9826878,Specialist,#EB8596,8,2,2
175,Hecarim,8.02,55591,2296.644606,503.9341105,Fighter,#664A40,8,2,2
176,Heimerdinger,8.02,61053,910.8842201,824.1195701,Specialist,#EB8596,8,2,2
177,Illaoi,8.02,132553,2224.718071,769.4065893,Fighter,#664A40,8,2,2
178,Irelia,8.02,70092,1926.271229,589.5514728,Fighter,#664A40,8,2,2
179,Ivern,8.02,19609,1256.841653,293.1349718,Support,#FFB733,8,2,2
180,Janna,8.02,254995,987.4273606,264.5686562,Support,#FFB733,8,2,2
181,Jarvan IV,8.02,191704,2010.590388,471.576096,Fighter,#664A40,8,2,2
182,Jax,8.02,298140,1788.604715,524.9524122,Assassin,#ED2941,8,2,2
183,Jayce,8.02,79852,1228.291498,709.6490293,Mage,#25BAA4,8,2,2
184,Jhin,8.02,187704,892.6228044,674.0080701,Marksman,#0D1F22,8,2,2
185,Jinx,8.02,409486,1003.373257,669.7807772,Marksman,#0D1F22,8,2,2
186,Kalista,8.02,65616,1148.719681,617.5069089,Marksman,#0D1F22,8,2,2
187,Karma,8.02,98049,981.9519106,471.7718987,Support,#FFB733,8,2,2
188,Karthus,8.02,25274,1176.362552,931.7145213,Mage,#25BAA4,8,2,2
189,Kassadin,8.02,64440,1429.602953,643.299264,Assassin,#ED2941,8,2,2
190,Katarina,8.02,170247,1376.444228,742.1155142,Assassin,#ED2941,8,2,2
191,Kayle,8.02,56372,1403.47705,583.6843199,Specialist,#EB8596,8,2,2
192,Kayn,8.02,226638,2165.149759,561.0020173,Assassin,#ED2941,8,2,2
193,Kennen,8.02,40058,1115.488725,675.5179067,Specialist,#EB8596,8,2,2
194,Kha'Zix,8.02,165467,1889.20855,538.1908023,Assassin,#ED2941,8,2,2
195,Kindred,8.02,50505,1590.899958,634.3809336,Marksman,#0D1F22,8,2,2
196,Kled,8.02,58227,2249.324019,614.51616,Fighter,#664A40,8,2,2
197,Kog'Maw,8.02,214327,1070.315164,794.3916847,Marksman,#0D1F22,8,2,2
198,LeBlanc,8.02,48895,1130.085133,647.4141332,Mage,#25BAA4,8,2,2
199,Lee Sin,8.02,173725,2007.596108,442.8159617,Fighter,#664A40,8,2,2
200,Leona,8.02,267022,1831.795906,255.0485027,Tank,#393663,8,2,2
201,Lissandra,8.02,33637,1153.390286,649.622313,Mage,#25BAA4,8,2,2
202,Lucian,8.02,126725,1076.194262,643.7128346,Marksman,#0D1F22,8,2,2
203,Lulu,8.02,232640,818.3667787,247.1980631,Support,#FFB733,8,2,2
204,Lux,8.02,300146,769.9418969,680.9867555,Mage,#25BAA4,8,2,2
205,Malphite,8.02,144779,1994.669126,545.7901625,Tank,#393663,8,2,2
206,Malzahar,8.02,150839,893.5116934,651.8101882,Mage,#25BAA4,8,2,2
207,Maokai,8.02,115066,2679.495883,510.2125211,Tank,#393663,8,2,2
208,Master Yi,8.02,179613,1798.206606,578.6804114,Assassin,#ED2941,8,2,2
209,Miss Fortune,8.02,275700,930.2048695,730.8847064,Marksman,#0D1F22,8,2,2
210,Mordekaiser,8.02,23709,2018.06802,683.4298401,Fighter,#664A40,8,2,2
211,Morgana,8.02,256006,1092.456781,505.858216,Support,#FFB733,8,2,2
212,Nami,8.02,219822,1129.544701,318.0837894,Support,#FFB733,8,2,2
213,Nasus,8.02,285713,2307.126317,602.4092893,Fighter,#664A40,8,2,2
214,Nautilus,8.02,97734,2060.837356,362.6773023,Tank,#393663,8,2,2
215,Nidalee,8.02,56505,1772.112227,555.5195801,Specialist,#EB8596,8,2,2
216,Nocturne,8.02,37589,1846.327375,522.0955627,Assassin,#ED2941,8,2,2
217,Nunu,8.02,148768,2554.563897,347.6868089,Tank,#393663,8,2,2
218,Olaf,8.02,36799,2173.970293,574.7429959,Fighter,#664A40,8,2,2
219,Orianna,8.02,148612,915.7489714,650.096171,Mage,#25BAA4,8,2,2
220,Ornn,8.02,96398,2151.63225,530.7282961,Tank,#393663,8,2,2
221,Pantheon,8.02,118314,1333.581105,627.9790656,Fighter,#664A40,8,2,2
222,Poppy,8.02,50435,2207.351031,497.1767661,Tank,#393663,8,2,2
223,Quinn,8.02,33277,1131.469004,664.9576379,Specialist,#EB8596,8,2,2
224,Rakan,8.02,106303,1446.963252,233.385422,Support,#FFB733,8,2,2
225,Rammus,8.02,107711,2652.065215,461.9853602,Tank,#393663,8,2,2
226,Rek'Sai,8.02,30112,2148.264836,461.795162,Fighter,#664A40,8,2,2
227,Renekton,8.02,78587,2133.543168,579.6725121,Fighter,#664A40,8,2,2
228,Rengar,8.02,94860,1798.916889,551.849073,Fighter,#664A40,8,2,2
229,Riven,8.02,184887,1650.195718,557.1712028,Assassin,#ED2941,8,2,2
230,Rumble,8.02,32714,1449.624113,753.7243292,Mage,#25BAA4,8,2,2
231,Ryze,8.02,112805,1292.265759,624.0903454,Mage,#25BAA4,8,2,2
232,Sejuani,8.02,203304,2414.911384,401.6800935,Tank,#393663,8,2,2
233,Shaco,8.02,93806,1421.468935,499.0822383,Assassin,#ED2941,8,2,2
234,Shen,8.02,152560,2093.916173,390.3616209,Tank,#393663,8,2,2
235,Shyvana,8.02,246367,2291.965301,555.3013107,Fighter,#664A40,8,2,2
236,Singed,8.02,68366,2061.984732,662.5978788,Specialist,#EB8596,8,2,2
237,Sion,8.02,101669,2871.023701,540.3404203,Tank,#393663,8,2,2
238,Sivir,8.02,93963,996.8121124,670.1476382,Marksman,#0D1F22,8,2,2
239,Skarner,8.02,89401,2319.684322,388.904844,Fighter,#664A40,8,2,2
240,Sona,8.02,157978,1195.600274,399.3036733,Support,#FFB733,8,2,2
241,Soraka,8.02,146350,1370.203798,228.6014243,Support,#FFB733,8,2,2
242,Swain,8.02,50905,1869.784468,739.9775453,Mage,#25BAA4,8,2,2
243,Syndra,8.02,54248,854.7443045,686.6821892,Mage,#25BAA4,8,2,2
244,Tahm Kench,8.02,146957,2302.466866,380.8358292,Support,#FFB733,8,2,2
245,Taliyah,8.02,52963,960.9855542,772.1595945,Mage,#25BAA4,8,2,2
246,Talon,8.02,68031,1326.138621,663.6612458,Assassin,#ED2941,8,2,2
247,Taric,8.02,167076,1926.037769,210.4084686,Support,#FFB733,8,2,2
248,Teemo,8.02,185998,1065.034181,843.4787891,Specialist,#EB8596,8,2,2
249,Thresh,8.02,312463,1428.960766,273.6609946,Support,#FFB733,8,2,2
250,Tristana,8.02,559002,1052.515282,662.4363942,Marksman,#0D1F22,8,2,2
251,Trundle,8.02,74785,2489.766084,474.9910223,Fighter,#664A40,8,2,2
252,Tryndamere,8.02,109416,3389.610326,538.6178122,Assassin,#ED2941,8,2,2
253,Twisted Fate,8.02,105021,1031.544302,644.9914674,Mage,#25BAA4,8,2,2
254,Twitch,8.02,257790,1029.93481,700.7758031,Marksman,#0D1F22,8,2,2
255,Udyr,8.02,150298,2265.831396,438.4336934,Fighter,#664A40,8,2,2
256,Urgot,8.02,96044,1954.225014,639.7453702,Fighter,#664A40,8,2,2
257,Varus,8.02,282522,1043.225095,654.0451681,Marksman,#0D1F22,8,2,2
258,Vayne,8.02,388038,1091.204086,653.7999834,Marksman,#0D1F22,8,2,2
259,Veigar,8.02,225698,867.2726126,694.7526776,Mage,#25BAA4,8,2,2
260,Vel'Koz,8.02,102205,793.4219576,804.7938572,Mage,#25BAA4,8,2,2
261,Vi,8.02,130837,1577.439672,490.818388,Fighter,#664A40,8,2,2
262,Viktor,8.02,31787,990.3462681,749.6302277,Mage,#25BAA4,8,2,2
263,Vladimir,8.02,167317,2137.599542,734.8387106,Mage,#25BAA4,8,2,2
264,Volibear,8.02,42538,2311.920722,478.2163672,Fighter,#664A40,8,2,2
265,Warwick,8.02,316973,2689.788205,462.9888517,Fighter,#664A40,8,2,2
266,Wukong,8.02,88311,1537.500041,595.670155,Fighter,#664A40,8,2,2
267,Xayah,8.02,224476,1014.657593,688.3779899,Marksman,#0D1F22,8,2,2
268,Xerath,8.02,146921,727.4616579,821.7885367,Mage,#25BAA4,8,2,2
269,Xin Zhao,8.02,161243,2154.502004,541.70841,Fighter,#664A40,8,2,2
270,Yasuo,8.02,336188,1572.567476,518.6367966,Assassin,#ED2941,8,2,2
271,Yorick,8.02,93971,1974.381641,662.2918884,Fighter,#664A40,8,2,2
272,Zac,8.02,106210,3081.560041,410.2740349,Tank,#393663,8,2,2
273,Zed,8.02,199101,1221.370659,689.8167275,Assassin,#ED2941,8,2,2
274,Ziggs,8.02,68014,765.4054597,825.3185024,Mage,#25BAA4,8,2,2
275,Zilean,8.02,58554,1022.016998,491.7699171,Specialist,#EB8596,8,2,2
276,Zoe,8.02,152680,880.1660985,734.2718901,Mage,#25BAA4,8,2,2
277,Zyra,8.02,107250,748.4058726,714.2774641,Support,#FFB733,8,2,2
278,Aatrox,8.03,52874,2257.368511,625.2668438,Fighter,#664A40,8,3,3
279,Ahri,8.03,146183,994.0389816,708.8166584,Mage,#25BAA4,8,3,3
280,Akali,8.03,141299,1804.448547,641.0467949,Assassin,#ED2941,8,3,3
281,Alistar,8.03,211648,2294.135417,280.5271465,Tank,#393663,8,3,3
282,Amumu,8.03,72498,2277.365063,470.8855238,Tank,#393663,8,3,3
283,Anivia,8.03,91154,1669.858496,671.8424798,Mage,#25BAA4,8,3,3
284,Annie,8.03,116411,881.6765873,680.5258901,Mage,#25BAA4,8,3,3
285,Ashe,8.03,134157,953.5567043,623.7116576,Marksman,#0D1F22,8,3,3
286,Aurelion Sol,8.03,34962,1202.734582,706.6239455,Mage,#25BAA4,8,3,3
287,Azir,8.03,95315,986.5866015,726.5828321,Specialist,#EB8596,8,3,3
288,Bard,8.03,108470,1186.757121,466.6940188,Support,#FFB733,8,3,3
289,Blitzcrank,8.03,195822,1688.375973,331.2003095,Support,#FFB733,8,3,3
290,Brand,8.03,222059,908.7999268,801.8123771,Mage,#25BAA4,8,3,3
291,Braum,8.03,184535,1722.580446,241.6798032,Tank,#393663,8,3,3
292,Caitlyn,8.03,247213,979.6499185,679.7449593,Marksman,#0D1F22,8,3,3
293,Camille,8.03,140388,1721.699161,588.343774,Fighter,#664A40,8,3,3
294,Cassiopeia,8.03,33791,1237.624533,665.6273634,Mage,#25BAA4,8,3,3
295,Cho'Gath,8.03,109572,2491.272834,575.4643233,Specialist,#EB8596,8,3,3
296,Corki,8.03,69185,1139.648219,764.7064192,Marksman,#0D1F22,8,3,3
297,Darius,8.03,153758,2164.824151,579.7202688,Fighter,#664A40,8,3,3
298,Diana,8.03,99560,1555.875827,688.0870858,Fighter,#664A40,8,3,3
299,Dr. Mundo,8.03,55692,2874.447673,648.424254,Fighter,#664A40,8,3,3
300,Draven,8.03,211373,1176.697406,728.0715659,Marksman,#0D1F22,8,3,3
301,Ekko,8.03,175580,1665.806117,664.7043425,Assassin,#ED2941,8,3,3
302,Elise,8.03,26646,1424.187131,533.7932186,Fighter,#664A40,8,3,3
303,Evelynn,8.03,71116,1513.318844,598.3319885,Assassin,#ED2941,8,3,3
304,Ezreal,8.03,303381,976.1949177,787.3462482,Marksman,#0D1F22,8,3,3
305,Fiddlesticks,8.03,64701,1288.242964,613.8734695,Specialist,#EB8596,8,3,3
306,Fiora,8.03,108729,2040.254802,632.069041,Assassin,#ED2941,8,3,3
307,Fizz,8.03,150510,1156.15544,660.0426992,Assassin,#ED2941,8,3,3
308,Galio,8.03,135006,1907.868059,635.4976486,Tank,#393663,8,3,3
309,Gangplank,8.03,205671,1421.568554,713.9553605,Specialist,#EB8596,8,3,3
310,Garen,8.03,228354,2356.514989,611.6804165,Fighter,#664A40,8,3,3
311,Gnar,8.03,145956,1665.86607,645.8072797,Specialist,#EB8596,8,3,3
312,Gragas,8.03,45301,2199.538252,475.5139787,Tank,#393663,8,3,3
313,Graves,8.03,46484,1559.369788,627.6552836,Specialist,#EB8596,8,3,3
314,Hecarim,8.03,52023,2308.530836,507.146238,Fighter,#664A40,8,3,3
315,Heimerdinger,8.03,54629,911.6446681,820.1071211,Specialist,#EB8596,8,3,3
316,Illaoi,8.03,107705,2229.474503,777.6643332,Fighter,#664A40,8,3,3
317,Irelia,8.03,64891,1948.44488,594.8999729,Fighter,#664A40,8,3,3
318,Ivern,8.03,25705,1319.165564,285.1494179,Support,#FFB733,8,3,3
319,Janna,8.03,238278,975.7622421,270.5276511,Support,#FFB733,8,3,3
320,Jarvan IV,8.03,164215,2017.057548,472.0059544,Fighter,#664A40,8,3,3
321,Jax,8.03,323767,1845.403243,513.8375356,Assassin,#ED2941,8,3,3
322,Jayce,8.03,66422,1237.25988,715.712426,Mage,#25BAA4,8,3,3
323,Jhin,8.03,157763,903.078881,677.8882502,Marksman,#0D1F22,8,3,3
324,Jinx,8.03,330859,1009.301862,660.2592866,Marksman,#0D1F22,8,3,3
325,Kalista,8.03,56956,1149.618383,624.7819789,Marksman,#0D1F22,8,3,3
